category,title,price,original_price,sale_price,discount,availability,variant,product_id,product_url,image_url,brand
kids,Hawaiian Shorts,"Rs. 1,890","Rs. 1,890","Rs. 1,890",Pay 362 now (BaadMay),Available,bbs0042,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0042,https://beoneshopone.com/cdn/shop/files/BBS0042-MLT1.jpg?v=1738839314&width=1080,One
kids,Cargo Jogger,"Rs. 3,290","Rs. 3,290","Rs. 3,290",Pay 631 now (BaadMay),Available,bbp0033,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbp0033,https://beoneshopone.com/cdn/shop/files/BBP0033-KHK3.jpg?v=1738839272&width=1080,One
kids,Cargo Jogger,"Rs. 3,290","Rs. 3,290","Rs. 3,290",Pay 631 now (BaadMay),Coming Soon,bbp0029,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbp0029,https://beoneshopone.com/cdn/shop/files/BBP0029-BLK.jpg?v=1739180540&width=1080,One
kids,Off-Shoulder Top,"Rs. 2,890","Rs. 2,890","Rs. 2,890",Pay 554 now (BaadMay),Available,gtw0059,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtw0059,https://beoneshopone.com/cdn/shop/files/GTW0059-BLK2.jpg?v=1739430791&width=1080,One
kids,Button Down Shirt,"Rs. 2,890","Rs. 2,890","Rs. 2,890",Pay 554 now (BaadMay),Available,gtw0057,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtw0057,https://beoneshopone.com/cdn/shop/files/GTW0057-MLT1_5a93cc66-cf66-4abc-ae1b-a934577df531.jpg?v=1739430766&width=1080,One
kids,Stripe Dress,"Rs. 3,690","Rs. 3,690","Rs. 3,690",Pay 707 now (BaadMay),Available,gtd0097,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0097,https://beoneshopone.com/cdn/shop/files/GTD0097-WMR1_7c96cf6c-6847-4c14-add2-c6745a142172.jpg?v=1739430647&width=1080,One
kids,Check Skirt,"Rs. 3,290","Rs. 3,290","Rs. 3,290",Pay 631 now (BaadMay),Available,gbs0019,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbs0019,https://beoneshopone.com/cdn/shop/files/GBS0019-WBL1.jpg?v=1737536475&width=1080,One
kids,Floral Pants,"Rs. 2,590","Rs. 2,590","Rs. 2,590",Pay 496 now (BaadMay),Available,gbp0034,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbp0034,https://beoneshopone.com/cdn/shop/files/GBP0034-MLT2_351c462b-c120-4b42-8c5c-b8d1e509c3ee.jpg?v=1738922102&width=1080,One
kids,Wide Leg Pants,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,gbp0033,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbp0033,https://beoneshopone.com/cdn/shop/files/GBP0033-MLT2.jpg?v=1739430488&width=1080,One
kids,Mom Fit Jeans,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,gbj0054,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbj0054,https://beoneshopone.com/cdn/shop/files/GBJ0054-BLU2.jpg?v=1737536448&width=1080,One
kids,Floral Straight Jeans,"Rs. 3,490","Rs. 3,490","Rs. 3,490",Pay 726 now (BaadMay),Available,gbj0053,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbj0053,https://beoneshopone.com/cdn/shop/files/GBJ0053-DBL.jpg?v=1738942233&width=1080,One
kids,Travel Polo,"Rs. 2,490","Rs. 2,490","Rs. 2,490",Pay 477 now (BaadMay),Available,btp0050,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btp0050,https://beoneshopone.com/cdn/shop/files/BTP0050-ORG2.jpg?v=1738922008&width=1080,One
kids,Pull Up Denim Shorts,"Rs. 2,490","Rs. 2,490","Rs. 2,490",Pay 535 now (BaadMay),Available,bbs0046,8.74595E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0046,https://beoneshopone.com/cdn/shop/files/BBS0046-BLK1_9786f6ac-29a6-4f27-b42c-5191201d4b92.jpg?v=1741081358&width=1080,One
kids,Cropped Shirt,"Rs. 2,890","Rs. 2,890","Rs. 2,890",Pay 554 now (BaadMay),Available,gtw0061,8.74487E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtw0061,https://beoneshopone.com/cdn/shop/files/GTW0061-PNK3.jpg?v=1739430818&width=1080,One
kids,Floral Shirt,"Rs. 3,090","Rs. 3,090","Rs. 3,090",Pay 592 now (BaadMay),Available,gtw0058,8.74487E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtw0058,https://beoneshopone.com/cdn/shop/files/GTW0058-MLT2_872bec0e-9b7f-4aa3-9a82-b2d468f1767b.jpg?v=1740138671&width=1080,One
kids,Printed Track Pants,"Rs. 2,290","Rs. 2,290","Rs. 2,290",Pay 439 now (BaadMay),Available,gbt0055,8.74487E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbt0055,https://beoneshopone.com/cdn/shop/files/GBT0055-MLT3.jpg?v=1739430590&width=1080,One
kids,Basic Skinny,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,gbj0048,8.74487E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbj0048,https://beoneshopone.com/cdn/shop/files/GBJ0048-BLU2.jpg?v=1737536405&width=1080,One
